scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max	region	pop_size	deaths	deaths_in_home	deaths_in_hospital	per_capita_deaths	per_capita_deaths_in_home	per_capita_deaths_in_hospital
260	60.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_3	2902	1079	997	82	0.37181254307374223	0.3435561681598897	0.028256374913852515
260	60.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_4	3063	1198	1118	80	0.3911198171727065	0.36500163238654915	0.02611818478615736
264	60.0	0.25	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0	Region_0	387	12	0	12	0.031007751937984496	0.0	0.031007751937984496
264	60.0	0.25	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0	Region_1	823	37	8	29	0.04495747266099635	0.009720534629404616	0.03523693803159174
264	60.0	0.25	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0	Region_2	2825	340	325	15	0.12035398230088495	0.11504424778761062	0.005309734513274336
264	60.0	0.25	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0	Region_3	2902	420	390	30	0.1447277739490007	0.13439007580978635	0.010337698139214336
264	60.0	0.25	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0	Region_4	3063	470	453	17	0.15344433561867452	0.14789422135161606	0.00555011426705844
261	120.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_0	387	22	0	22	0.056847545219638244	0.0	0.056847545219638244
261	120.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_1	823	47	0	47	0.05710814094775213	0.0	0.05710814094775213
261	120.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_2	2825	979	804	175	0.3465486725663717	0.28460176991150443	0.061946902654867256
261	120.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_3	2902	1037	850	187	0.3573397656788422	0.2929014472777395	0.06443831840110269
261	120.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_4	3063	1156	965	191	0.3774077701599739	0.3150506039830232	0.0623571661769507
263	120.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_0	387	21	0	21	0.05426356589147287	0.0	0.05426356589147287
263	120.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_1	823	226	118	108	0.27460510328068044	0.1433778857837181	0.13122721749696234
263	120.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_2	2825	1694	1489	205	0.5996460176991151	0.5270796460176991	0.07256637168141593
263	120.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_3	2902	1759	1558	201	0.6061337008959339	0.5368711233631978	0.06926257753273604
263	120.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_4	3063	1957	1751	206	0.6389160953313745	0.5716617695070193	0.06725432582435521
262	60.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_0	387	36	0	36	0.09302325581395349	0.0	0.09302325581395349
262	60.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_1	823	252	186	66	0.30619684082624543	0.22600243013365734	0.08019441069258809
262	60.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_2	2825	1744	1638	106	0.6173451327433628	0.5798230088495575	0.03752212389380531
