scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max
251	120.0	0.75	15.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
252	60.0	0.25	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
253	120.0	0.25	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
254	60.0	0.5	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
255	120.0	0.5	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
256	60.0	0.75	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
257	120.0	0.75	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
258	60.0	0.25	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
259	120.0	0.25	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
260	60.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
261	120.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
262	60.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
263	120.0	0.75	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0
264	60.0	0.25	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
265	120.0	0.25	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
266	60.0	0.5	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
267	120.0	0.5	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
268	60.0	0.75	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
269	120.0	0.75	10.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
270	60.0	0.25	15.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
271	120.0	0.25	15.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
272	60.0	0.5	15.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
273	120.0	0.5	15.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
274	60.0	0.75	15.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
275	120.0	0.75	15.0	0.5	5.0	0.75	0.005	0.2	2.0	5.0
276	60.0	0.25	10.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
277	120.0	0.25	10.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
278	60.0	0.5	10.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
279	120.0	0.5	10.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
